Full_Name,x0,y0,z0,xDot0,yDot0,zDot0,T,Stability_Index,Bifercates_to,lStar_km,tStar_days,mu,System,LagrangePoint,Family,Modifier,JacobiValue,Closest_Primary_Approach,Closest_Secondary_Approach
L1 - Northern Halo,0.8749,0,0.1914,0,0.232469346993104,0,2.1914,1,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L1,Halo,North,2.99791612490736,0.883634589839497,0.883634589839497
L1 - Northern Halo,0.8869,0,0.1957,0,0.211011747736113,0,2.0477,1.4145,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L1,Halo,North,2.99968095714913,0.896373263765237,0.896373263765237
L1 - Northern Halo,0.8989,0,0.2002,0,0.186468264283897,0,1.9289,1.9886,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L1,Halo,North,3.00223718107672,0.909067964422211,0.909067964422211
L1 - Northern Halo,0.9109,0,0.206,0,0.159,0,1.8417,2.2935,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L1,Halo,North,3.00397727770556,0.922055589367769,0.922055589367769
L1 - Northern Halo,0.9246,0,0.218,0,0.12316941348398,0,1.805,2.5615,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L1,Halo,North,3.0009780932214,0.938130019687518,0.938130019687518
L1 - Northern Halo,0.9305,0,0.23,0,0.104375548034844,0,1.8397,2.7481,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L1,Halo,North,2.99361885455587,0.946685521219681,0.946685521219681
L1 - Northern Halo,0.933,0,0.242,0,0.0935458828302734,0,1.8959,2.8581,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L1,Halo,North,2.984700562522,0.952117452839104,0.952117452839104
L1 - Northern Halo,0.9335,0,0.254,0,0.0874197186504873,0,1.9586,2.8438,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L1,Halo,North,2.97506729820899,0.955704142643912,0.955704142643912
L1 - Northern Halo,0.9329,0,0.266,0,0.0838552336373157,0,2.0222,2.6473,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L1,Halo,North,2.96511958260228,0.958402568922863,0.958402568922863
L1 - Northern Halo,0.9315,0,0.278,0,0.0821379875172437,0,2.0845,2.1802,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L1,Halo,North,2.95495569065797,0.96020665992731,0.96020665992731
L1 - Northern Halo,0.9292,0,0.2914,0,0.081666625306431,0,2.1509,1,L4/L5-Axials,385692.5,4.3644,0.0121505856,Earth - Moon,L1,Halo,North,2.94342662760703,0.962233645457995,0.962233645457995
L2 - Northern Halo,1.1809,0,0,0,-0.155866761762302,0,3.4155,606.113,L2-Lyapunovs,385692.5,4.3644,0.0121505856,Earth - Moon,L2,Halo,North,3.15211609023266,1.1082328466967,1.1082328466967
L2 - Northern Halo,1.1807,0,0.0139,0,-0.156900754894892,0,3.4139,597.265,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L2,Halo,North,3.15129008948743,1.10756891467378,1.10756891467378
L2 - Northern Halo,1.1802,0,0.0259,0,-0.159420401401849,0,3.41,576.0367,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L2,Halo,North,3.14925248129693,1.10593491061077,1.10593491061077
L2 - Northern Halo,1.1794,0,0.0379,0,-0.163486300022171,0,3.4037,543.6409,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L2,Halo,North,3.14596196904589,1.10330052833008,1.10330052833008
L2 - Northern Halo,1.1782,0,0.0499,0,-0.168383507815263,0,3.3949,502.0654,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L2,Halo,North,3.14160045727576,1.09985050411841,1.09985050411841
L2 - Northern Halo,1.1767,0,0.0619,0,-0.174891102691272,0,3.3835,453.6604,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L2,Halo,North,3.13592264024665,1.09535633560826,1.09535633560826
L2 - Northern Halo,1.1746,0,0.0739,0,-0.180811342527357,0,3.3694,400.9064,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L2,Halo,North,3.12956826446179,1.0904089676282,1.0904089676282
L2 - Northern Halo,1.1721,0,0.0859,0,-0.187713025239573,0,3.3521,346.2209,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L2,Halo,North,3.12206118302715,1.08455211258803,1.08455211258803
L2 - Northern Halo,1.169,0,0.0979,0,-0.194174258876376,0,3.3314,291.8115,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L2,Halo,North,3.11384817221498,1.07815781235581,1.07815781235581
L2 - Northern Halo,1.1654,0,0.1099,0,-0.201125239552529,0,3.3066,239.5741,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L2,Halo,North,3.10462837390981,1.07092535192419,1.07092535192419
L2 - Northern Halo,1.1611,0,0.1219,0,-0.20723640637277,0,3.2768,191.0295,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L2,Halo,North,3.09485877805939,1.0631892102994,1.0631892102994
L2 - Northern Halo,1.1561,0,0.1339,0,-0.212884196507909,0,3.2406,147.2915,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L2,Halo,North,3.0844211894856,1.05477523133714,1.05477523133714
L2 - Northern Halo,1.1503,0,0.1459,0,-0.217926269037267,0,3.1959,109.0641,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L2,Halo,North,3.07335988259786,1.04562523934693,1.04562523934693
L2 - Northern Halo,1.1435,0,0.1579,0,-0.22189296577503,0,3.1393,76.6589,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L2,Halo,North,3.06181991077359,1.03572474385498,1.03572474385498
L2 - Northern Halo,1.1354,0,0.1699,0,-0.2247,0,3.0645,50.0298,N/A,385692.5,4.3644,0.0121505856,Earth - Moon,L2,Halo,North,3.04973636951436,1.02482170445241,1.02482170445241
